GoodreadsId,ISBN,Language,AverageRating,RatingsCount,Rating1Star,Rating2Star,Rating3Star,Rating4Star,Rating5Star
19501,143038419,eng,3.51,1181647,100373,149549,310212,332191,314272
28187,786838655,eng,4.23,1366265,18303,48294,219638,435514,689365
1934,451529308,en-US,4.04,1257121,31645,70011,250794,426280,535563
10210,142437204,eng,4.1,1198557,35132,64274,212294,400214,574221
15931,553816713,eng,4.06,1053403,41395,63432,176469,298259,497194
4214,770430074,SI,3.88,1003228,39768,74331,218702,384164,360466
43641,1565125606,eng,4.07,1068146,16705,49832,200154,417328,424820
19063,375831002,eng,4.36,1159741,17892,35360,135272,377218,722056
4381,307347974,spa,3.97,570498,28366,64289,238242,426292,419051
49041,316160199,eng,3.52,1149630,102837,160660,294207,290612,350684
30119,60513039,eng,4.29,1016888,16590,30792,139024,293222,544153
256683,1416914285,eng,4.12,1154031,34122,65349,203466,356048,582814
428263,316160202,en-US,3.69,1134511,83094,124293,260763,309358,399134
113436,375826696,en-US,3.86,1104021,50563,88536,240157,337943,408032
11,345391802,en-US,4.2,936782,21764,41962,145173,299579,498001
5129,60929871,eng,3.97,1022601,26367,60328,219895,389379,383166
1162543,031606792X,en-US,3.7,1070245,100994,114893,213402,267706,410714
37435,142001740,en-US,4.01,916189,17500,45455,185631,347540,341267
2956,142437174,eng,3.8,953758,28467,76630,255722,344356,296316
24178,64410935,eng,4.15,1064521,18450,41124,191415,346090,487763
1618,1400032717,eng,3.85,867553,21049,58117,218218,355925,262481
22557272,1594633665,eng,3.88,1008778,27773,73897,273817,488447,362551
119322,679879242,eng,3.94,953970,38382,64591,198764,313147,380030
6185,393978893,eng,3.82,899195,46469,84084,215320,309180,346082
10917,743454537,eng,4.06,863879,17547,42763,162573,314003,350994
4981,385333846,eng,4.06,846488,24964,45518,152442,300948,367890
18405,446675539,eng,4.28,873981,19996,33136,116160,234290,493721
128029,1594489505,eng,4.34,818742,6509,18015,99030,295817,446694
22628,671027344,eng,4.21,888806,14286,38658,143440,297501,461020
11735983,7442912,eng,4.07,836362,10641,44620,182131,339977,369969
375802,812550706,eng,4.3,813439,15330,27612,103439,264207,462829
18490,141439475,eng,3.75,808589,29366,74142,231022,300495,248538
11588,450040186,eng,4.17,791850,18487,28981,123862,277393,382158
1656001,316068047,en-US,3.84,749780,44215,62501,154906,227180,288758
99561,142402516,eng,4.09,783470,16940,44232,147324,262932,359857
227443,014028009X,eng,3.75,736498,28973,59309,198555,254836,212825
14935,141439661,eng,4.06,738894,18430,34699,141987,272512,311754
38709,439244196,eng,3.93,747445,15495,43786,176946,269153,259257
5139,307275558,eng,3.7,665930,24231,58323,192366,226675,178250
1381,143039954,eng,3.73,670326,29703,65629,183082,224120,208223
157993,156012197,eng,4.28,738757,15039,32866,114714,228440,468227
7445,074324754X,eng,4.24,621099,7901,18922,85191,227750,298102
1845,385486804,eng,3.94,647684,19229,35567,135199,248287,227095
1953,141439602,eng,3.81,637412,28904,55555,153305,216378,223571
7677,030734813X,spa,3.96,447833,15736,34222,138327,231583,230615
370493,60256656,eng,4.38,702332,15345,20408,76071,167542,428921
32542,385338600,eng,4.03,597775,12106,25938,122675,218617,229488
1617,374500010,eng,4.3,691231,7761,18539,90575,230227,360777
6442769,014241493X,en-US,3.88,461311,14105,47183,154479,223895,215609
21787,345418263,en-US,4.25,628637,12883,21641,89236,196047,338235
231804,014038572X,en-US,4.06,659248,10178,34346,134244,227250,274419
6186357,385737947,eng,4.02,719925,15291,43370,150488,266698,302109
1202,61234001,en-US,3.93,524191,14586,26538,115789,216316,176072
2998,517189607,eng,4.12,639357,8005,25207,129646,243821,285570
320,60531045,eng,4.04,490565,27340,37646,87675,155809,267197
5297,375751513,eng,4.06,590014,9825,30735,129420,246892,257679
13536860,345803507,eng,3.88,387290,39079,55691,109963,140304,265079
17245,393970124,eng,3.98,618973,11756,36719,151396,246043,243825
5060378,307269981,eng,4.22,563994,4623,15781,91021,258236,279592
11857408,1612130585,eng,3.87,552059,37245,58935,114203,150906,262051
